1	11	RP	----GSM-	13	αὐτοῦ	αὐτου	αυτου	αὐτός			
1	11	P-	--------	7	ἐπὶ	ἐπι	επι	ἐπί			
1	11	RA	----GSF-	10	τῆς	της	της	ὁ			
1	11	N-	----GSF-	13634	μετοικεσίας	μετοικεσιας	μετοικεσιας	μετοικεσία			
1	11	N-	----GSF-	13634	Βαβυλῶνος	βαβυλωνος	βαβυλωνος	Βαβυλών			.
1	12	P-	--------	7	Μετὰ	μετα	μετα	μετά			
1	12	C-	--------	4	δὲ	δε	δε	δέ			
1	12	RA	----ASF-	10	τὴν	την	την	ὁ			
1	12	N-	----ASF-	13570	μετοικεσίαν	μετοικεσιαν	μετοικεσιαν	μετοικεσία			
1	12	N-	----GSF-	13634	Βαβυλῶνος	βαβυλωνος	βαβυλωνος	Βαβυλών			
1	12	N-	----NSM-	9346	Ἰεχονίας	ἰεχονιας	ιεχονιας	Ἰεχονίας			
1	12	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω			
1	12	RA	----ASM-	10	τὸν	τον	τον	ὁ			
1	12	N-	----ASM-	9474	Σαλαθιήλ	σαλαθιηλ	σαλαθιηλ	Σαλαθιήλ			,
1	12	N-	----NSM-	9346	Σαλαθιὴλ	σαλαθιηλ	σαλαθιηλ	Σαλαθιήλ			
1	12	C-	--------	4	δὲ	δε	δε	δέ			
1	12	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω			
1	12	RA	----ASM-	10	τὸν	τον	τον	ὁ			
1	12	N-	----ASM-	9474	Ζοροβαβέλ	ζοροβαβελ	ζοροβαβελ	Ζοροβαβέλ			,
1	13	N-	----NSM-	9346	Ζοροβαβὲλ	ζοροβαβελ	ζοροβαβελ	Ζοροβαβέλ			
1	13	C-	--------	4	δὲ	δε	δε	δέ			
1	13	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω			
1	13	RA	----ASM-	10	τὸν	τον	τον	ὁ			
1	13	N-	----ASM-	9474	Ἀβιούδ	ἀβιουδ	αβιουδ	Ἀβιούδ			,
1	13	N-	----NSM-	9346	Ἀβιοὺδ	ἀβιουδ	αβιουδ	Ἀβιούδ			
1	13	C-	--------	4	δὲ	δε	δε	δέ			
1	13	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω			
1	13	RA	----ASM-	10	τὸν	τον	τον	ὁ			
1	13	N-	----ASM-	9474	Ἐλιακίμ	ἐλιακιμ	ελιακιμ	Ἐλιακίμ			,
1	13	N-	----NSM-	9346	Ἐλιακὶμ	ἐλιακιμ	ελιακιμ	Ἐλιακίμ			
1	13	C-	--------	4	δὲ	δε	δε	δέ			
1	13	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω			
1	13	RA	----ASM-	10	τὸν	τον	τον	ὁ			
1	13	N-	----ASM-	9474	Ἀζώρ	ἀζωρ	αζωρ	Ἀζώρ			,
1	14	N-	----NSM-	9346	Ἀζὼρ	ἀζωρ	αζωρ	Ἀζώρ			
1	14	C-	--------	4	δὲ	δε	δε	δέ			
1	14	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω			
1	14	RA	----ASM-	10	τὸν	τον	τον	ὁ			
1	14	N-	----ASM-	9474	Σαδώκ	σαδωκ	σαδωκ	Σαδώκ			,
1	14	N-	----NSM-	9346	Σαδὼκ	σαδωκ	σαδωκ	Σαδώκ			
1	14	C-	--------	4	δὲ	δε	δε	δέ			
1	14	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω			
1	14	RA	----ASM-	10	τὸν	τον	τον	ὁ			
1	14	N-	----ASM-	9474	Ἀχίμ	ἀχιμ	αχιμ	Ἀχίμ			,
1	14	N-	----NSM-	9346	Ἀχὶμ	ἀχιμ	αχιμ	Ἀχίμ			
1	14	C-	--------	4	δὲ	δε	δε	δέ			
1	14	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω			
1	14	RA	----ASM-	10	τὸν	τον	τον	ὁ			
1	14	N-	----ASM-	9474	Ἐλιούδ	ἐλιουδ	ελιουδ	Ἐλιούδ			,
1	15	N-	----NSM-	9346	Ἐλιοὺδ	ἐλιουδ	ελιουδ	Ἐλιούδ			
1	15	C-	--------	4	δὲ	δε	δε	δέ			
1	15	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω			
1	15	RA	----ASM-	10	τὸν	τον	τον	ὁ			
1	15	N-	----ASM-	9474	Ἐλεάζαρ	ἐλεαζαρ	ελεαζαρ	Ἐλεάζαρ			,
1	15	N-	----NSM-	9346	Ἐλεάζαρ	ἐλεαζαρ	ελεαζαρ	Ἐλεάζαρ			
1	15	C-	--------	4	δὲ	δε	δε	δέ			
1	15	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω			
1	15	RA	----ASM-	10	τὸν	τον	τον	ὁ			
